email,first_name,last_name,perferred_name,department_name,level_2,level_3,level_4,level_5,manager_email,,gender,ethnicity,leadership_skills,leadership_modifier,Affinity bias,Authenticity,Constructive Feedback,Credit For Work,Digital Inclusion,Diverse Thinking,Empathy,Feeling Listened To,Flexible Working,Fostering D&amp;I,Leadership Stereotypes,Positive Recognition,Sustainable Workload,Undermining,Wellbeing Checkins
test.Troy.Ramsey@survey.staging.vortexplore.com,Troy,Ramsey,Troy Ramsey,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,White,0.3241171770956296,0.031245684701432408,3,3,2,3,2,3,3,3,1,3,4,4,3,3,2
test.Steven.Lopez@survey.staging.vortexplore.com,Steven,Lopez,Steven Lopez,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Male,White,0.1414778541305705,0.031245684701432408,4,3,3,3,2,3,3,3,2,3,3,3,3,2,3
test.Brandi.Mcneil@survey.staging.vortexplore.com,Brandi,Mcneil,Brandi Mcneil,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,White,-1.2707435933830769,0.031245684701432408,5,3,3,2,2,3,4,5,3,3,5,3,4,4,3
1.test.Carol.Williams@survey.staging.vortexplore.com,Carol,Williams,Carol Williams,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,White,0.17160236703775755,0.031245684701432408,4,2,3,3,2,3,4,4,2,3,4,3,4,2,2
test.Maria.Zamora@survey.staging.vortexplore.com,Maria,Zamora,Maria Zamora,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Male,White,0.12267087383233555,0.031245684701432408,3,2,3,4,2,3,4,3,2,2,2,3,3,1,3
test.Joshua.Nguyen@survey.staging.vortexplore.com,Joshua,Nguyen,Joshua Nguyen,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,White,0.23543979612353427,0.031245684701432408,4,3,4,1,2,3,5,3,2,3,3,2,4,3,3
test.Kathy.Marsh@survey.staging.vortexplore.com,Kathy,Marsh,Kathy Marsh,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.20711439704886137,0.031245684701432408,3,4,4,4,2,3,3,4,2,3,4,2,3,4,4
test.Gary.Hardy@survey.staging.vortexplore.com,Gary,Hardy,Gary Hardy,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,White,0.2842262290520582,0.031245684701432408,3,4,3,4,2,4,5,4,2,3,4,4,3,4,1
test.Eric.Graves@survey.staging.vortexplore.com,Eric,Graves,Eric Graves,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,White,0.06447469598482825,0.031245684701432408,3,2,3,2,2,3,3,4,2,4,5,3,3,1,1
test.Ronnie.Kelly@survey.staging.vortexplore.com,Ronnie,Kelly,Ronnie Kelly,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,White,0.260254927237928,0.031245684701432408,3,3,3,3,2,3,2,4,2,3,4,2,3,2,2
test.Virginia.Blanchard@survey.staging.vortexplore.com,Virginia,Blanchard,Virginia Blanchard,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Male,White,0.1964507627518493,0.031245684701432408,3,2,3,1,2,3,3,2,2,4,3,2,3,3,4
test.Leslie.Harris@survey.staging.vortexplore.com,Leslie,Harris,Leslie Harris,HR,Compensation,,,,test.Daniel.Burns@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.3402528963533543,0.031245684701432408,5,4,3,3,2,3,6,4,1,4,3,4,3,3,2
test.Sandra.Logan@survey.staging.vortexplore.com,Sandra,Logan,Sandra Logan,HR,Head of Training,,,,test.Alexis.Hall@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.40642122962562627,0.13950031766884086,3,4,3,3,2,4,6,5,2,4,4,5,3,4,3
test.David.Brady@survey.staging.vortexplore.com,David,Brady,David Brady,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Female,White,0.034289679104967774,0.40642122962562627,4,3,3,4,2,4,4,4,2,4,5,2,3,5,3
test.Sara.Smith@survey.staging.vortexplore.com,Sara,Smith,Sara Smith,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Male,White,0.07983070017531235,0.40642122962562627,5,5,4,5,3,3,3,4,2,4,5,3,3,3,4
test.Eric.Moody@survey.staging.vortexplore.com,Eric,Moody,Eric Moody,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Female,White,0.0987837085345033,0.40642122962562627,3,3,3,3,2,4,2,5,3,4,4,3,3,3,3
test.Angela.Ellis@survey.staging.vortexplore.com,Angela,Ellis,Angela Ellis,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.49801953045683517,0.40642122962562627,5,4,4,3,2,3,5,4,2,4,4,4,4,3,3
test.Zachary.Valencia@survey.staging.vortexplore.com,Zachary,Valencia,Zachary Valencia,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Female,White,-0.9861295235864614,0.40642122962562627,2,3,3,4,2,3,4,5,2,3,4,4,4,3,3
test.Tiffany.Russell@survey.staging.vortexplore.com,Tiffany,Russell,Tiffany Russell,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Female,White,-0.6283811837719634,0.40642122962562627,4,3,3,3,2,4,2,5,3,3,5,5,4,4,2
test.Jessica.Cunningham@survey.staging.vortexplore.com,Jessica,Cunningham,Jessica Cunningham,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.23448339465167173,0.40642122962562627,4,5,3,2,2,4,1,5,2,4,3,5,4,5,3
test.Jason.Gonzales@survey.staging.vortexplore.com,Jason,Gonzales,Jason Gonzales,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Female,White,0.26618433205034037,0.40642122962562627,4,3,4,3,3,3,7,4,3,2,5,4,4,3,1
test.Jordan.Todd@survey.staging.vortexplore.com,Jordan,Todd,Jordan Todd,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Male,White,0.16804788970439194,0.40642122962562627,3,4,3,6,2,3,1,5,2,4,2,4,4,2,3
test.Rebecca.Simmons@survey.staging.vortexplore.com,Rebecca,Simmons,Rebecca Simmons,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Female,White,0.26553479486732684,0.40642122962562627,4,3,3,3,2,3,4,4,2,4,4,4,4,3,4
test.Jennifer.Miller@survey.staging.vortexplore.com,Jennifer,Miller,Jennifer Miller,HR,Training,,,,test.Sandra.Logan@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.1679438766053275,0.40642122962562627,4,4,4,3,2,4,3,5,2,4,3,4,3,5,3
test.Christopher.Carter@survey.staging.vortexplore.com,Christopher,Carter,Christopher Carter,HR,Head of Payroll,,,,test.Alexis.Hall@survey.staging.vortexplore.com,,Male,White,0.2163965051424978,0.13950031766884086,4,4,4,5,2,3,6,3,3,4,3,3,4,4,2
100.test.David.Scott@survey.staging.vortexplore.com,David,Scott,David Scott,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.23106736407465295,0.2163965051424978,4,4,4,4,2,3,3,5,2,3,4,3,4,2,2
test.Rebecca.West@survey.staging.vortexplore.com,Rebecca,West,Rebecca West,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Male,White,0.3816469315221831,0.2163965051424978,4,3,3,4,2,4,5,5,2,4,4,4,3,2,4
test.Brooke.Ramos@survey.staging.vortexplore.com,Brooke,Ramos,Brooke Ramos,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.457740966477453,0.2163965051424978,3,3,2,4,2,4,3,4,2,4,4,4,3,3,3
test.Eric.Scott@survey.staging.vortexplore.com,Eric,Scott,Eric Scott,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.3888704045542954,0.2163965051424978,5,3,3,2,2,3,3,4,3,4,5,4,4,4,3
test.Stephen.Alvarez@survey.staging.vortexplore.com,Stephen,Alvarez,Stephen Alvarez,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Male,White,0.23150204798771595,0.2163965051424978,5,3,3,3,3,3,4,4,3,3,2,2,4,4,3
test.Jessica.Orr@survey.staging.vortexplore.com,Jessica,Orr,Jessica Orr,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.14226584803542108,0.2163965051424978,5,4,3,3,2,4,3,4,2,4,3,3,4,3,3
test.Jonathan.Williams@survey.staging.vortexplore.com,Jonathan,Williams,Jonathan Williams,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.039086659730756645,0.2163965051424978,3,3,3,3,2,3,4,4,2,3,3,3,4,3,4
test.Sheila.Kim@survey.staging.vortexplore.com,Sheila,Kim,Sheila Kim,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.3590352604418377,0.2163965051424978,4,3,3,2,2,4,4,5,2,3,3,3,3,3,3
test.Christopher.Cooper@survey.staging.vortexplore.com,Christopher,Cooper,Christopher Cooper,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.4022727124012217,0.2163965051424978,3,2,3,4,2,4,1,4,2,3,5,3,3,3,2
test.Jessica.Mccarthy@survey.staging.vortexplore.com,Jessica,Mccarthy,Jessica Mccarthy,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.4586912212090084,0.2163965051424978,3,4,3,2,2,4,5,4,1,3,4,2,4,3,1
test.Timothy.Mercado@survey.staging.vortexplore.com,Timothy,Mercado,Timothy Mercado,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.46158831040528564,0.2163965051424978,2,3,3,4,2,4,4,3,2,4,4,3,4,2,2
test.Justin.Martin@survey.staging.vortexplore.com,Justin,Martin,Justin Martin,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Male,White,0.1700973122537187,0.2163965051424978,3,2,3,5,2,3,4,3,2,4,3,4,4,3,3
test.Ashley.King@survey.staging.vortexplore.com,Ashley,King,Ashley King,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.2566987312601518,0.2163965051424978,3,3,4,5,2,3,3,3,2,3,4,4,4,2,2
test.Michael.Williams@survey.staging.vortexplore.com,Michael,Williams,Michael Williams,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.03706695257845427,0.2163965051424978,3,4,4,4,2,4,3,3,3,3,5,2,4,2,3
test.Aimee.Butler@survey.staging.vortexplore.com,Aimee,Butler,Aimee Butler,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.05196419257292001,0.2163965051424978,4,3,4,3,2,3,6,2,2,3,4,4,3,2,4
test.Brandon.Walker@survey.staging.vortexplore.com,Brandon,Walker,Brandon Walker,HR,Payroll,,,,test.Christopher.Carter@survey.staging.vortexplore.com,,Female,White,0.39657510131307955,0.2163965051424978,3,5,3,4,3,3,4,4,2,3,4,3,3,3,2
test.Christopher.Harper@survey.staging.vortexplore.com,Christopher,Harper,Christopher Harper,Finance,CFO,,,,test.Karen.Clifford@survey.staging.vortexplore.com,,Female,White,0.11629725209739783,0.32840456498146514,4,3,3,2,2,3,2,5,3,4,5,3,4,3,3
test.Jeremy.Robertson@survey.staging.vortexplore.com,Jeremy,Robertson,Jeremy Robertson,Finance,VP of Finance 1,,,,test.Christopher.Harper@survey.staging.vortexplore.com,,Female,White,0.21388282141831488,0.11629725209739783,4,3,3,3,2,4,3,4,2,3,3,2,4,3,2
test.Gina.Ellis@survey.staging.vortexplore.com,Gina,Ellis,Gina Ellis,Finance,Head of Finance Team 1,,,,test.Jeremy.Robertson@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.35688115030175266,0.21388282141831488,4,5,3,2,2,4,4,3,2,3,4,4,3,5,5
test.Christopher.Torres@survey.staging.vortexplore.com,Christopher,Torres,Christopher Torres,Finance,Finance Team 1,,,,test.Gina.Ellis@survey.staging.vortexplore.com,,Male,White,0.3144621445115524,0.35688115030175266,4,3,3,2,3,4,6,5,2,4,4,3,4,2,4
test.Lisa.Davidson@survey.staging.vortexplore.com,Lisa,Davidson,Lisa Davidson,Finance,Finance Team 1,,,,test.Gina.Ellis@survey.staging.vortexplore.com,,Male,White,-0.7915837499952414,0.35688115030175266,3,3,3,3,2,3,2,4,3,4,2,3,3,3,3
test.Amber.Allen@survey.staging.vortexplore.com,Amber,Allen,Amber Allen,Finance,Finance Team 1,,,,test.Gina.Ellis@survey.staging.vortexplore.com,,Male,White,0.41309242834299426,0.35688115030175266,4,4,3,4,3,3,6,4,2,3,3,4,3,3,4
test.Ryan.Browning@survey.staging.vortexplore.com,Ryan,Browning,Ryan Browning,Finance,Finance Team 1,,,,test.Gina.Ellis@survey.staging.vortexplore.com,,Female,White,0.05100109735140196,0.35688115030175266,3,2,3,3,2,4,5,3,3,4,5,4,4,4,1
test.Melissa.Harris@survey.staging.vortexplore.com,Melissa,Harris,Melissa Harris,Finance,Finance Team 1,,,,test.Gina.Ellis@survey.staging.vortexplore.com,,Male,White,0.20801405083569907,0.35688115030175266,3,3,3,4,3,3,1,5,3,3,4,4,4,3,5
test.Matthew.Wall@survey.staging.vortexplore.com,Matthew,Wall,Matthew Wall,Finance,Finance Team 1,,,,test.Gina.Ellis@survey.staging.vortexplore.com,,Female,White,0.35859616152252227,0.35688115030175266,3,3,4,3,3,3,3,5,3,3,4,5,3,3,2
test.Michael.Turner@survey.staging.vortexplore.com,Michael,Turner,Michael Turner,Finance,Finance Team 1,,,,test.Gina.Ellis@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.30541667159794406,0.35688115030175266,4,5,3,2,2,4,4,5,3,4,5,4,4,4,1
test.Richard.Lucero@survey.staging.vortexplore.com,Richard,Lucero,Richard Lucero,Finance,Head of Finance Team 2,,,,test.Jeremy.Robertson@survey.staging.vortexplore.com,,Male,White,-1.043275727752643,0.21388282141831488,4,2,3,5,3,3,3,4,3,4,4,3,4,3,2
4.test.Michael.Torres@survey.staging.vortexplore.com,Michael,Torres,Michael Torres,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Male,White,0.41964322701531165,-1.043275727752643,2,2,2,1,1,3,3,1,1,1,1,2,2,1,2
5.test.Shane.Wright@survey.staging.vortexplore.com,Shane,Wright,Shane Wright,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Male,White,0.25894649264425856,-1.043275727752643,2,2,2,3,1,2,4,3,1,2,3,2,2,3,3
test.Randall.Hardy@survey.staging.vortexplore.com,Randall,Hardy,Randall Hardy,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Male,White,0.0586249492989353,-1.043275727752643,2,2,3,2,1,2,3,2,2,2,3,2,3,2,3
test.Barbara.Kirk@survey.staging.vortexplore.com,Barbara,Kirk,Barbara Kirk,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Female,White,-0.7791600396315231,-1.043275727752643,3,1,2,1,1,2,1,4,1,1,3,1,3,3,2
test.Carrie.Lopez@survey.staging.vortexplore.com,Carrie,Lopez,Carrie Lopez,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Female,White,0.4094241211571304,-1.043275727752643,2,2,2,2,1,2,3,2,1,2,4,2,3,2,1
test.James.Schultz@survey.staging.vortexplore.com,James,Schultz,James Schultz,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.18437432826181077,-1.043275727752643,3,3,2,3,1,2,3,2,1,2,2,3,3,3,2
test.Patricia.Wong@survey.staging.vortexplore.com,Patricia,Wong,Patricia Wong,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Male,White,0.24140974988801867,-1.043275727752643,2,1,2,2,1,2,3,1,2,2,2,3,2,3,2
test.Jose.Mosley@survey.staging.vortexplore.com,Jose,Mosley,Jose Mosley,Finance,Finance Team 2,,,,test.Richard.Lucero@survey.staging.vortexplore.com,,Male,White,0.2553148892908797,-1.043275727752643,2,2,2,3,1,2,3,2,1,2,2,2,1,2,3
test.Becky.Hill@survey.staging.vortexplore.com,Becky,Hill,Becky Hill,Finance,Head of Finance Team 3,,,,test.Jeremy.Robertson@survey.staging.vortexplore.com,,Male,Ethnic Minority,-1.3511458712067779,0.21388282141831488,4,5,3,3,3,4,6,4,2,4,3,4,3,4,2
test.Shaun.Larson@survey.staging.vortexplore.com,Shaun,Larson,Shaun Larson,Finance,Finance Team 3,,,,test.Becky.Hill@survey.staging.vortexplore.com,,Male,White,0.0788158616676079,-1.3511458712067779,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1
